"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/41620406","Entire Home","33.606","-111.94","5","196","4","t","375","0","696","85","231932"
"http://airbnb.com/rooms/41621671","Entire Home","33.57815","-112.06902","5","165","1","f","0","0","134","81","39725"
"http://airbnb.com/rooms/41621702","Entire Home","33.618","-111.973","4.8","337","3","t","239","0","267","44","48708"
"http://airbnb.com/rooms/41621790","Entire Home","33.57805","-112.0598","4.9","171","2","t","125","0","124","74","39470"
"http://airbnb.com/rooms/41640866","Entire Home","33.45963","-112.08513","4.2","9","2","f","78","0","9999","100","3672322"
"http://airbnb.com/rooms/41662353","Condo","33.46318","-111.98727","4.8","182","2","t","100","6","209","42","36552"
"http://airbnb.com/rooms/41665878","Entire Home","33.60417","-111.93389","5","347","5","t","180","12","389","51","80394"
"http://airbnb.com/rooms/41682095","Private Room","33.48664","-112.01357","5","110","1","f","0","0","65","85","20223"
"http://airbnb.com/rooms/41685102","Private Room","33.47172","-112.05888","4.8","315","1","f","15","10","48","97","17894"
"http://airbnb.com/rooms/41706909","Entire Home","33.49344","-111.95857","5","232","6","t","400","0","2251","30","257888"
"http://airbnb.com/rooms/41708086","Condo","33.58151","-112.05769","5","277","1","t","0","0","150","66","36234"
"http://airbnb.com/rooms/41718397","Entire Home","33.60767","-112.10322","4.5","91","1","f","25","8","350","37","47500"
"http://airbnb.com/rooms/41746471","Condo","33.504","-112.034","4.8","168","2","t","140","0","143","56","35713"
"http://airbnb.com/rooms/41747485","Entire Home","33.47688","-112.10559","4.8","171","2","f","80","0","112","79","35294"
"http://airbnb.com/rooms/41799194","Entire Home","33.47821","-112.07762","5","366","1","t","70","0","76","83","29737"
"http://airbnb.com/rooms/41799731","Entire Home","33.58315","-111.98794","4.9","254","1","t","65","0","95","100","39734"
"http://airbnb.com/rooms/41803620","Condo","33.3","-112.058","4","44","2","t","135","0","87","60","21353"
"http://airbnb.com/rooms/41810646","Entire Home","33.55837","-112.13257","4.7","221","2","f","150","4","127","46","25357"
"http://airbnb.com/rooms/41815775","Entire Home","33.60669","-111.93948","5","264","3","t","150","0","433","43","72720"
"http://airbnb.com/rooms/41818591","Private Room","33.58647","-112.01904","4.8","249","1","t","0","0","90","59","19435"
"http://airbnb.com/rooms/41824422","Private Room","33.41296","-112.17088","4.8","362","1","f","15","0","38","67","9759"
"http://airbnb.com/rooms/41832442","Condo","33.61918","-111.92897","4.7","234","1","t","100","0","95","35","12482"
